"","salaries_wrong"
"1","Adam Haluska"
"2","Ademola Okulaja"
"3","Adrian Custis"
"4","Alan Bannister"
"5","Aleksandar Pavlovic"
"6","Andrew Toney"
"7","Anthony Barber"
"8","Arthur Johnson"
"9","Bakari Hendrix"
"10","Beau Beech"
"11","Bill Hanzlik"
"12","Billy Preston"
"13","BJ Mullens"
"14","Brady Heslip"
"15","Brandon Wallace"
"16","Brett Robisch"
"17","Brian Chase"
"18","Bronson Koenig"
"19","Caleb Homesley"
"20","Cam Reynolds"
"21","Carlos Strong"
"22","Chris Carrawell"
"23","Christapher Johnson"
"24","CJ Fair"
"25","Cody Demps"
"26","Constantin Popa"
"27","Curtis Blair"
"28","Damon Bailey"
"29","Daniel Horton"
"30","DaSean Butler"
"31","Dennis Schroeder"
"32","Dennis Smith"
"33","Derrick Alston Sr"
"34","Derrick Jones"
"35","Didier Ilunga-Mbenga"
"36","Egidijus Mockevicius"
"37","EJ Singler"
"38","Elgin Cook"
"39","Eric Griffin"
"40","Frank Mason"
"41","Frederic Weis"
"42","Grady Livingston"
"43","Herbert Hill"
"44","Hidayet Turkoglu"
"45","Horacio Llamas Grey"
"46","Iakovos Tsakalidis"
"47","Isaiah Cousins"
"48","Ishmael Smith"
"49","James Webb"
"50","Jaylen Johnson"
"51","Jefferson Sobral"
"52","Jeffery Taylor"
"53","Jeffrey Sheppard"
"54","Jermaine Walker"
"55","Jim Paxson"
"56","Jimmie Hunter"
"57","John Lucas"
"58","Jon Stefansson"
"59","Jonathan Holmes"
"60","Jose Juan Barea"
"61","Joseph Young"
"62","Josh Moore"
"63","JP Tokoto"
"64","Justin Bibbs"
"65","Kaleb Tarczewski"
"66","Kareem Townes"
"67","Keenan Evans"
"68","Kelly Oubre"
"69","Kenny Wooten"
"70","Kevin Pittsnogle"
"71","Kevin Porter"
"72","Kevin Rankin"
"73","Kira Lewis"
"74","Kiwane Garris"
"75","KJ Martin"
"76","LaMarcus Golden"
"77","Landry Nnoko"
"78","Livio Jean-Charles"
"79","Louis Amundson"
"80","Louis Bullock"
"81","Louis Williams"
"82","Luca Vildoza"
"83","Malcolm Huckaby"
"84","Mamadou Ndiaye"
"85","Marcus Mann"
"86","Marcus Thornton II"
"87","Mark Hughes"
"88","Mark Karcher"
"89","Marvin Bagley"
"90","Mate Skelin"
"91","Matt Janning"
"92","Maurice Williams"
"93","Melvin Robinson"
"94","Michael Porter"
"95","Michael Young"
"96","Micheal Eric"
"97","Mike Gansey"
"98","Mike Holton"
"99","Mitchell Creek"
"100","Moe Harkless"
"101","Nate Higgs"
"102","Naz Long"
"103","Nenê"
"104","Nick Zeisloft"
"105","Nikita Morgunov"
"106","Nikola Jovanovic"
"107","Omer Yurtseven"
"108","Pat Carroll"
"109","Patric Young"
"110","Patrick Mills"
"111","Patrick Savoy"
"112","Paul Miller"
"113","Paul Rogers"
"114","Pete Mickeal"
"115","Pooh Jeter"
"116","Predrag Stojakovic"
"117","Prince Ibeh"
"118","Quincy Ford"
"119","Rade Zagorac"
"120","Radoslav Nesterovic"
"121","Raymond Spalding"
"122","Reggie Fox"
"123","Richard Hendrix"
"124","Richard Solomon"
"125","Rodney Dent"
"126","Rodney Zimmerman"
"127","Romain Sato"
"128","Ron Riley"
"129","Rusty Larue"
"130","Saer Sene"
"131","Sam Clancy"
"132","Scott Wood"
"133","Scottie Wilbekin"
"134","Sean Banks"
"135","Serge Zwikker"
"136","Sergey Monya"
"137","Shannon Smith"
"138","Stefan Jankovic"
"139","Stephan Hicks"
"140","Tarik Phillip"
"141","Terrico White"
"142","Thomas Walkup"
"143","Timothe Luwawu"
"144","Todd Lindeman"
"145","Tommy Smith"
"146","Trevon Bluiett"
"147","Troy Brown"
"148","Tyler Hall"
"149","Tyrone Grant"
"150","Vernon Carey"
"151","Vincent Edwards"
"152","Vincent Grier"
"153","Virginijus Praskevicius"
"154","Vitor Faverani"
"155","VJ Beachem"
"156","Vyacheslav Kravtsov"
"157","Walter Lemon Jr"
"158","Walter Tavares"
"159","Wendell Carter"
"160","Willie Solomon"
"161","Xavier Tillman"
"162","Yakuba Ouattara"
"163","Zach Auguste"
